country,non_leisure_visitors,leisure_visitors,total_visitors,ratio,year,source
UK,15363,24585,39948,0.11,2010,AP Tourism Survey 2009-2010
USA,14836,24413,39249,0.1,2010,AP Tourism Survey 2009-2010
Canada,12646,20948,33594,0.09,2010,AP Tourism Survey 2009-2010
Germany,13131,18129,31261,0.08,2010,AP Tourism Survey 2009-2010
Europe,16068,22915,38983,0.1,2010,AP Tourism Survey 2009-2010
Australia,14684,21498,36182,0.1,2010,AP Tourism Survey 2009-2010
Sri Lanka,7358,6465,13824,0.04,2010,AP Tourism Survey 2009-2010
France,7760,10157,17917,0.05,2010,AP Tourism Survey 2009-2010
Japan,3825,4825,8650,0.02,2010,AP Tourism Survey 2009-2010
Malaysia,1848,2526,4374,0.01,2010,AP Tourism Survey 2009-2010
Singapore,4139,5788,9928,0.03,2010,AP Tourism Survey 2009-2010
Italy,2300,2845,5145,0.01,2010,AP Tourism Survey 2009-2010
Nepal,1452,1758,3210,0.01,2010,AP Tourism Survey 2009-2010
Netherlands,1788,5581,7370,0.02,2010,AP Tourism Survey 2009-2010
Korea,783,780,1563,0.0,2010,AP Tourism Survey 2009-2010
Israel,2119,2198,4317,0.01,2010,AP Tourism Survey 2009-2010
Pakistan,4051,4205,8256,0.02,2010,AP Tourism Survey 2009-2010
Bangladesh,5847,6311,12159,0.03,2010,AP Tourism Survey 2009-2010
UAE,18748,18355,37104,0.1,2010,AP Tourism Survey 2009-2010
Spain,3034,10926,13960,0.04,2010,AP Tourism Survey 2009-2010
Switzerland,648,2610,3258,0.01,2010,AP Tourism Survey 2009-2010
Saudi Arabia,8,75,83,0.0,2010,AP Tourism Survey 2009-2010
Greece,0,14,14,0.0,2010,AP Tourism Survey 2009-2010
Argentina,896,758,1654,0.0,2010,AP Tourism Survey 2009-2010
Belgium,594,562,1156,0.0,2010,AP Tourism Survey 2009-2010
Morocco,0,19,19,0.0,2010,AP Tourism Survey 2009-2010
Cambodia,0,8,8,0.0,2010,AP Tourism Survey 2009-2010
Maldives,0,13,13,0.0,2010,AP Tourism Survey 2009-2010
Norway,931,932,1863,0.0,2010,AP Tourism Survey 2009-2010
Philippines,509,437,946,0.0,2010,AP Tourism Survey 2009-2010
Denmark,341,224,565,0.0,2010,AP Tourism Survey 2009-2010
Egypt,25,68,93,0.0,2010,AP Tourism Survey 2009-2010
South Africa,20,103,123,0.0,2010,AP Tourism Survey 2009-2010
Finland,1148,1135,2283,0.01,2010,AP Tourism Survey 2009-2010
