district,month,year,domestic_visitors,foreign_visitors,total_visitors,source
Visakhapatnam,July,2009,446732,130,446862,AP Tourism Survey 2009-2010
Visakhapatnam,August,2009,398785,467,399252,AP Tourism Survey 2009-2010
Visakhapatnam,September,2009,383672,230,383902,AP Tourism Survey 2009-2010
Visakhapatnam,October,2009,530116,571,530687,AP Tourism Survey 2009-2010
Visakhapatnam,November,2009,608481,599,609080,AP Tourism Survey 2009-2010
Visakhapatnam,December,2009,411055,778,411833,AP Tourism Survey 2009-2010
Visakhapatnam,January,2010,404374,102,404476,AP Tourism Survey 2009-2010
Visakhapatnam,February,2010,367438,55,367493,AP Tourism Survey 2009-2010
Visakhapatnam,March,2010,566345,30,566375,AP Tourism Survey 2009-2010
Visakhapatnam,April,2010,567861,20,567881,AP Tourism Survey 2009-2010
Visakhapatnam,May,2010,546625,35,546660,AP Tourism Survey 2009-2010
Visakhapatnam,June,2010,499806,11,499817,AP Tourism Survey 2009-2010
East Godavari,July,2009,115706,130,115836,AP Tourism Survey 2009-2010
East Godavari,August,2009,215083,467,215550,AP Tourism Survey 2009-2010
East Godavari,September,2009,248402,230,248632,AP Tourism Survey 2009-2010
East Godavari,October,2009,208946,571,209517,AP Tourism Survey 2009-2010
East Godavari,November,2009,221544,599,222143,AP Tourism Survey 2009-2010
East Godavari,December,2009,243168,778,243947,AP Tourism Survey 2009-2010
East Godavari,January,2010,273709,102,273811,AP Tourism Survey 2009-2010
East Godavari,February,2010,237557,55,237612,AP Tourism Survey 2009-2010
East Godavari,March,2010,130845,30,130875,AP Tourism Survey 2009-2010
East Godavari,April,2010,281627,20,281647,AP Tourism Survey 2009-2010
East Godavari,May,2010,288036,35,288071,AP Tourism Survey 2009-2010
East Godavari,June,2010,276839,11,276850,AP Tourism Survey 2009-2010
West Godavari,July,2009,54203,7,54210,AP Tourism Survey 2009-2010
West Godavari,August,2009,141514,0,141514,AP Tourism Survey 2009-2010
West Godavari,September,2009,144097,94,144191,AP Tourism Survey 2009-2010
West Godavari,October,2009,149727,65,149792,AP Tourism Survey 2009-2010
West Godavari,November,2009,151330,75,151405,AP Tourism Survey 2009-2010
West Godavari,December,2009,180586,834,181419,AP Tourism Survey 2009-2010
West Godavari,January,2010,198134,49,198183,AP Tourism Survey 2009-2010
West Godavari,February,2010,129896,2,129898,AP Tourism Survey 2009-2010
West Godavari,March,2010,112367,3,112370,AP Tourism Survey 2009-2010
West Godavari,April,2010,208987,0,208987,AP Tourism Survey 2009-2010
West Godavari,May,2010,214830,0,214830,AP Tourism Survey 2009-2010
West Godavari,June,2010,170320,0,170320,AP Tourism Survey 2009-2010
Krishna,July,2009,187707,16,187722,AP Tourism Survey 2009-2010
Krishna,August,2009,164052,0,164052,AP Tourism Survey 2009-2010
Krishna,September,2009,145974,84,146058,AP Tourism Survey 2009-2010
Krishna,October,2009,232382,479,232861,AP Tourism Survey 2009-2010
Krishna,November,2009,191117,509,191626,AP Tourism Survey 2009-2010
Krishna,December,2009,217641,885,218526,AP Tourism Survey 2009-2010
Krishna,January,2010,212061,971,213032,AP Tourism Survey 2009-2010
Krishna,February,2010,180219,68,180287,AP Tourism Survey 2009-2010
Krishna,March,2010,173261,49,173310,AP Tourism Survey 2009-2010
Krishna,April,2010,155794,18,155813,AP Tourism Survey 2009-2010
Krishna,May,2010,170629,13,170642,AP Tourism Survey 2009-2010
Krishna,June,2010,164896,8,164904,AP Tourism Survey 2009-2010
Guntur,July,2009,30499,59,30558,AP Tourism Survey 2009-2010
Guntur,August,2009,48987,44,49031,AP Tourism Survey 2009-2010
Guntur,September,2009,52191,13,52204,AP Tourism Survey 2009-2010
Guntur,October,2009,120651,18,120669,AP Tourism Survey 2009-2010
Guntur,November,2009,124210,30,124240,AP Tourism Survey 2009-2010
Guntur,December,2009,135672,59,135731,AP Tourism Survey 2009-2010
Guntur,January,2010,140817,53,140870,AP Tourism Survey 2009-2010
Guntur,February,2010,91695,52,91747,AP Tourism Survey 2009-2010
Guntur,March,2010,82891,47,82938,AP Tourism Survey 2009-2010
Guntur,April,2010,80777,2,80780,AP Tourism Survey 2009-2010
Guntur,May,2010,83830,5,83834,AP Tourism Survey 2009-2010
Guntur,June,2010,82926,10,82935,AP Tourism Survey 2009-2010
Prakasam,July,2009,28196,0,28196,AP Tourism Survey 2009-2010
Prakasam,August,2009,14011,0,14011,AP Tourism Survey 2009-2010
